X,CH1,CH2,
Second,Volt,Volt,
-1.42440e-03,5.20e+00,4.96e+00,
-1.42340e-03,5.00e+00,-7.99e-02,
-1.42240e-03,5.00e+00,2.40e-01,
-1.42140e-03,4.80e+00,-7.99e-02,
-1.42040e-03,5.00e+00,4.00e-01,
-1.41940e-03,4.80e+00,-1.60e-01,
-1.41840e-03,4.80e+00,2.40e-01,
-1.41740e-03,5.00e+00,2.40e-01,
-1.41640e-03,5.00e+00,5.12e+00,
-1.41540e-03,2.00e-01,4.96e+00,
-1.41440e-03,2.00e-01,4.88e+00,
-1.41340e-03,6.00e-01,5.28e+00,
-1.41240e-03,4.00e-01,5.04e+00,
-1.41140e-03,2.00e-01,4.88e+00,
-1.41040e-03,5.20e+00,5.12e+00,
-1.40940e-03,5.00e+00,7.99e-02,
-1.40840e-03,5.00e+00,1.60e-01,
-1.40740e-03,4.80e+00,2.40e-01,
-1.40640e-03,4.80e+00,2.40e-01,
-1.40540e-03,5.00e+00,1.60e-01,
